DefaultedAdvances,AdvanceAmount,CurrentBalance,LatefeesTotalCount,CreditAccounts,LastRepaymentAmount,OverdraftCount,OverdraftTotal,AverageMonthlySpend,BalanceAverage,BalanceMin,TotalAssets,AverageNumberOfTransactionsADay,TotalCash,LatefeesCount,Paycheck,TotalHistoryInDays,AverageMonthlyIncome,AverageMonthlyDiscretionarySpend,CheckingAccountCount,CreditAccountCount,SavingsAccountCount,OutstandingCreditDebtWherePayingInterest,AverageNumberOfTransactionsADayPrimaryChecking,NegativeBalanceCount,PaycheckModelUsed,NumberOfMatches,ErrorRate,IsNameBased,BalanceAbove100L30Count,AveragePotentialMonthlyIncome,HasEmpowerBanking
0,50,268.1,0,0,0,0,0,-5491.06,345.11,-185.34,268.1,4.633333333,268.1,0,2457,61.17987309,3969.461181,-1191.27,1,0,1,0,4.633333333,11,BruteForce,5,0,1,18,4398.506667,1
0,50,17.68,0,0,0,0,0,-1330.759925,378.01,0.08,17.72,1.647577093,17.72,0,1706.9,128.706924,1120.50679,-1503.2,1,0,2,0,4.763779528,0,BruteForce,7,0,0,28,3436.18,0
0,50,0.79,0,0,0,0,0,-6446.753876,559.13,-276.61,273.99,4.080935252,273.99,0,4630.347222,558.4016597,6674.567286,-1546.523333,1,0,1,0,3.56294964,20,BruteForce,5,0,1,16,6803.28,1
0,50,-12.83,0,0,0,0,0,-1904.714237,124.86,-44.62,645.12,2.831578947,645.12,0,1300,285.7768685,1787.241711,-940.6166667,1,0,1,0,2.729824561,15,BruteForce,3,0,0,15,0,0
0,50,55.88,0,0,0,0,0,-5857.241057,420.26,42.5,55.88,8.926829268,55.88,0,3633.073333,165.9905913,5169.470216,-1893.433333,1,0,0,0,8.926829268,0,BruteForce,3,0,0,24,7390.746667,1
0,50,,6,2,223,9,40,-10595.9433,814.64,-412.74,201.78,7.959854015,201.78,2,1286.2,550.2465014,4816.35412,-3296.423333,2,2,0,5567.71,7.023722628,1,BruteForce,5,1,0,26,0,1
0,50,10.46,0,0,0,1,1,-2242.842883,164.3,-22.82,10.49,5.09478673,10.49,0,2402.313333,424.2973532,2260.72043,-383.05,1,0,1,0,4.90521327,0,BruteForce,5,0,1,0,841.8233333,0
0,50,,0,0,0,0,0,-4395.435623,1422.58,-11.65,79.33,3.4384,79.33,0,2553.777778,625.5931553,3985.410734,-2523.176667,1,0,1,0,3.4336,0,BruteForce,3,0,0,29,5565.556667,1
0,50,,19,3,0,0,14,-3960.716277,484.34,8.53,367.18,2.515239478,367.18,0,2405.317778,2068.398124,2932.660411,-836.63,1,3,0,0,2.425253991,0,BruteForce,6,0,0,27,0,0
0,50,1216.08,0,0,0,2,15,-6131.614947,733.28,-192.95,1216.08,3.523636364,1216.08,0,3008.683889,552.9692965,4631.125876,-1555.296667,1,0,0,0,3.523636364,0,BruteForce,5,0,1,26,6298.72,1
